cbsa_code,cbsa_name,vintage_present,summary,rem_cty_1_code,rem_cty_1_name,rem_cty_2_code,rem_cty_2_name,rem_cty_3_code,rem_cty_3_name,rem_cty_4_code,rem_cty_4_name,rem_cty_5_code,rem_cty_5_name,rem_cty_6_code,rem_cty_6_name,add_cty_1_code,add_cty_1_name,add_cty_2_code,add_cty_2_name,add_cty_3_code,add_cty_3_name,add_cty_4_code,add_cty_4_name,add_cty_5_code,add_cty_5_name,add_cty_6_code,add_cty_6_name
38210,"Pikeville, KY",2023,"New CBSA. Added: 21071, 21195",,,,,,,,,,,,,21071,Floyd County,21195,Pike County,,,,,,,,
38220,"Pine Bluff, AR",Both,Removed: 05079,05079,Lincoln County,,,,,,,,,,,,,,,,,,,,,,
38300,"Pittsburgh, PA",Both,Added: 42073,,,,,,,,,,,,,42073,Lawrence County,,,,,,,,,,
38380,"Plainview, TX",Both,Added: 48153,,,,,,,,,,,,,48153,Floyd County,,,,,,,,,,
38580,"Point Pleasant, WV-OH",2013,,39053,Gallia County,54053,Mason County,,,,,,,,,,,,,,,,,,,,
38660,"Ponce, PR",Both,Removed: 72055,72055,Guánica Municipio,,,,,,,,,,,,,,,,,,,,,,
38780,"Portales, NM",2013,,35041,Roosevelt County,,,,,,,,,,,,,,,,,,,,,,
38840,"Port Clinton, OH",2013,,39123,Ottawa County,,,,,,,,,,,,,,,,,,,,,,
39040,"Port Townsend, WA",2023,New CBSA. Added: 53031,,,,,,,,,,,,,53031,Jefferson County,,,,,,,,,,
39140,"Prescott, AZ",2013,,04025,Yavapai County,,,,,,,,,,,,,,,,,,,,,,
39150,"Prescott Valley-Prescott, AZ",2023,New CBSA. Added: 04025,,,,,,,,,,,,,04025,Yavapai County,,,,,,,,,,
39260,"Prineville, OR",2013,,41013,Crook County,,,,,,,,,,,,,,,,,,,,,,
39480,"Putnam, CT",2023,New CBSA. Added: 09150,,,,,,,,,,,,,09150,Northeastern Connecticut Planning Region,,,,,,,,,,
39900,"Reno, NV",Both,Added: 32019,,,,,,,,,,,,,32019,Lyon County,,,,,,,,,,
39960,"Rice Lake, WI",2023,New CBSA. Added: 55005,,,,,,,,,,,,,55005,Barron County,,,,,,,,,,
40060,"Richmond, VA",Both,Removed: 51033; Added: 51097,51033,Caroline County,,,,,,,,,,,51097,King and Queen County,,,,,,,,,,
40080,"Richmond-Berea, KY",Both,Added: 21065,,,,,,,,,,,,,21065,Estill County,,,,,,,,,,
40090,"Rifle, CO",2023,"New CBSA. Added: 08045, 08097",,,,,,,,,,,,,08045,Garfield County,08097,Pitkin County,,,,,,,,
40380,"Rochester, NY",Both,Removed: 36123,36123,Yates County,,,,,,,,,,,,,,,,,,,,,,
40760,"Ruidoso, NM",2023,New CBSA. Added: 35027,,,,,,,,,,,,,35027,Lincoln County,,,,,,,,,,
40770,"Russellville, AL",2023,New CBSA. Added: 01059,,,,,,,,,,,,,01059,Franklin County,,,,,,,,,,
41220,"St. Marys, GA",2013,,13039,Camden County,,,,,,,,,,,,,,,,,,,,,,
41260,"St. Marys, PA",2023,New CBSA. Added: 42047,,,,,,,,,,,,,42047,Elk County,,,,,,,,,,
41540,"Salisbury, MD",Both,"Removed: 10005, 24047",10005,Sussex County,24047,Worcester County,,,,,,,,,,,,,,,,,,,,
41780,"Sandusky, OH",Both,Added: 39123,,,,,,,,,,,,,39123,Ottawa County,,,,,,,,,,
41900,"San Germán, PR",2013,,72023,Cabo Rojo Municipio,72079,Lajas Municipio,72121,Sabana Grande Municipio,72125,San Germán Municipio,,,,,,,,,,,,,,,,
42180,"Santa Isabel, PR",2013,,72133,Santa Isabel Municipio,,,,,,,,,,,,,,,,,,,,,,
42420,"Scottsbluff, NE",Both,Removed: 31165,31165,Sioux County,,,,,,,,,,,,,,,,,,,,,,
42580,"Seaford, DE",2023,New CBSA. Added: 10005,,,,,,,,,,,,,10005,Sussex County,,,,,,,,,,
43340,"Shreveport-Bossier City, LA",Both,Removed: 22119,22119,Webster Parish,,,,,,,,,,,,,,,,,,,,,,
43460,"Sikeston, MO",Both,Added: 29133,,,,,,,,,,,,,29133,Mississippi County,,,,,,,,,,
43580,"Sioux City, IA-NE-SD",Both,"Removed: 19149, 31051",19149,Plymouth County,31051,Dixon County,,,,,,,,,,,,,,,,,,,,
43620,"Sioux Falls, SD-MN",Both,Added: 27133,,,,,,,,,,,,,27133,Rock County,,,,,,,,,,
43640,"Slidell-Mandeville-Covington, LA",2023,New CBSA. Added: 22103,,,,,,,,,,,,,22103,St. Tammany Parish,,,,,,,,,,
43890,"Sparta, WI",2023,New CBSA. Added: 55081,,,,,,,,,,,,,55081,Monroe County,,,,,,,,,,
44060,"Spokane-Spokane Valley, WA",Both,Removed: 53051,53051,Pend Oreille County,,,,,,,,,,,,,,,,,,,,,,
44140,"Springfield, MA",Both,Removed: 25015,25015,Hampshire County,,,,,,,,,,,,,,,,,,,,,,
44260,"Starkville, MS",Both,Added: 28155,,,,,,,,,,,,,28155,Webster County,,,,,,,,,,
44340,"Statesboro, GA",Both,Added: 13109,,,,,,,,,,,,,13109,Evans County,,,,,,,,,,
44460,"Steamboat Springs, CO",Both,Added: 08081,,,,,,,,,,,,,08081,Moffat County,,,,,,,,,,
44920,"Summit Park, UT",2013,,49043,Summit County,,,,,,,,,,,,,,,,,,,,,,
44980,"Sunbury, PA",Both,Added: 42093,,,,,,,,,,,,,42093,Montour County,,,,,,,,,,
45540,"The Villages, FL",2013,,12119,Sumter County,,,,,,,,,,,,,,,,,,,,,,
45620,"Thomasville, GA",Both,Added: 13131,,,,,,,,,,,,,13131,Grady County,,,,,,,,,,
45700,"Tifton, GA",Both,Added: 13287,,,,,,,,,,,,,13287,Turner County,,,,,,,,,,
45860,"Torrington, CT",Both,Removed: 09005; Added: 09160,09005,Litchfield County,,,,,,,,,,,09160,Northwest Hills Planning Region,,,,,,,,,,
45880,"Town of Pecos, TX",2023,New CBSA. Added: 48389,,,,,,,,,,,,,48389,Reeves County,,,,,,,,,,
46100,"Tullahoma-Manchester, TN",Both,Removed: 47051,47051,Franklin County,,,,,,,,,,,,,,,,,,,,,,
46180,"Tupelo, MS",Both,Removed: 28115; Added: 28117,28115,Pontotoc County,,,,,,,,,,,28117,Prentiss County,,,,,,,,,,
46220,"Tuscaloosa, AL",Both,Added: 01063,,,,,,,,,,,,,01063,Greene County,,,,,,,,,,
46460,"Union City, TN",Both,Removed: 21075,21075,Fulton County,,,,,,,,,,,,,,,,,,,,,,
46580,"Utuado, PR",2023,New CBSA. Added: 72141,,,,,,,,,,,,,72141,Utuado Municipio,,,,,,,,,,
46740,"Valley, AL",2013,,01017,Chambers County,,,,,,,,,,,,,,,,,,,,,,
46980,"Vicksburg, MS",Both,Removed: 28021,28021,Claiborne County,,,,,,,,,,,,,,,,,,,,,,
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Both,"Added: 37029, 51181",,,,,,,,,,,,,37029,Camden County,51181,Surry County,,,,,,,,
47380,"Waco, TX",Both,Added: 48035,,,,,,,,,,,,,48035,Bosque County,,,,,,,,,,
47460,"Walla Walla, WA",Both,Removed: 53013,53013,Columbia County,,,,,,,,,,,,,,,,,,,,,,
47580,"Warner Robins, GA",Both,Removed: 13235,13235,Pulaski County,,,,,,,,,,,,,,,,,,,,,,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Both,Removed: 24009,24009,Calvert County,,,,,,,,,,,,,,,,,,,,,,
47930,"Waterbury-Shelton, CT",2023,New CBSA. Added: 09140,,,,,,,,,,,,,09140,Naugatuck Valley Planning Region,,,,,,,,,,
48100,"Wauchula, FL",2013,,12049,Hardee County,,,,,,,,,,,,,,,,,,,,,,
48200,"Waynesville, NC",2023,New CBSA. Added: 37087,,,,,,,,,,,,,37087,Haywood County,,,,,,,,,,
48220,"Weatherford, OK",Both,Added: 40149,,,,,,,,,,,,,40149,Washita County,,,,,,,,,,
48620,"Wichita, KS",Both,Removed: 20095,20095,Kingman County,,,,,,,,,,,,,,,,,,,,,,
48680,"Wildwood-The Villages, FL",2023,New CBSA. Added: 12119,,,,,,,,,,,,,12119,Sumter County,,,,,,,,,,
48900,"Wilmington, NC",Both,Added: 37019,,,,,,,,,,,,,37019,Brunswick County,,,,,,,,,,
49010,"Winchester, TN",2023,New CBSA. Added: 47051,,,,,,,,,,,,,47051,Franklin County,,,,,,,,,,
49340,"Worcester, MA",Both,Removed: 09015,09015,Windham County,,,,,,,,,,,,,,,,,,,,,,
49660,"Youngstown-Warren, OH",Both,Removed: 42085,42085,Mercer County,,,,,,,,,,,,,,,,,,,,,,
